word,cooc_count,word_count,pmi
狄仁杰,10,10,0.05710428351006368
可观,10,10,0.05710428351006368
元亨,10,10,0.05710428351006368
洪武,10,10,0.05710428351006368
九年,10,10,0.05710428351006368
处之,10,10,0.05710428351006368
兆,10,10,0.05710428351006368
张氏,10,10,0.05710428351006368
不及,20,21,0.05701512644543126
首,20,21,0.05701512644543126
际,20,21,0.05701512644543126
木,20,21,0.05701512644543126
禅,20,21,0.05701512644543126
敢,20,21,0.05701512644543126
登,20,21,0.05701512644543126
黄帝,20,21,0.05701512644543126
纣,20,21,0.05701512644543126
古,20,21,0.05701512644543126
有孚,30,32,0.05698540619944174
徳,30,32,0.05698540619944174
夫子,30,32,0.05698540619944174
天道,30,32,0.05698540619944174
请,40,43,0.056970545846849456
唐,40,43,0.056970545846849456
帝王,40,43,0.056970545846849456
汉,60,65,0.05695568534118785
孔子,49,53,0.054288223125563445
止,39,42,0.05361267686641464
死,39,42,0.05361267686641464
安,39,42,0.05361267686641464
社稷,29,31,0.05247197476874235
奉,29,31,0.05247197476874235
京师,19,20,0.050133433474643614
疾,19,20,0.050133433474643614
髙祖,19,20,0.050133433474643614
桀,19,20,0.050133433474643614
鲁,19,20,0.050133433474643614
开,19,20,0.050133433474643614
尚,38,41,0.05008650664324785
日月,28,30,0.04765178740701774
位,28,30,0.04765178740701774
实,46,50,0.04560486872005506
固,55,60,0.04508428697440179
取,64,70,0.044710232012469944
圣人,82,90,0.044208599517538194
谓,163,180,0.04332269525826747
祈父,9,9,0.04262452574775384
其时,9,9,0.04262452574775384
阶,9,9,0.04262452574775384
史记,9,9,0.04262452574775384
臣子,9,9,0.04262452574775384
虑,9,9,0.04262452574775384
翼,9,9,0.04262452574775384
大小,9,9,0.04262452574775384
卷,9,9,0.04262452574775384
后人,9,9,0.04262452574775384
郑,9,9,0.04262452574775384
衣,9,9,0.04262452574775384
舞,9,9,0.04262452574775384
采芑,9,9,0.04262452574775384
生子,9,9,0.04262452574775384
明堂,9,9,0.04262452574775384
夏正,9,9,0.04262452574775384
卯,9,9,0.04262452574775384
纳,9,9,0.04262452574775384
左氏,9,9,0.04262452574775384
祠,9,9,0.04262452574775384
公卿,9,9,0.04262452574775384
二际,9,9,0.04262452574775384
四牡,9,9,0.04262452574775384
周人,9,9,0.04262452574775384
掌,9,9,0.04262452574775384
也】,9,9,0.04262452574775384
之主,9,9,0.04262452574775384
征凶,9,9,0.04262452574775384
辟,9,9,0.04262452574775384
在位,9,9,0.04262452574775384
髙,9,9,0.04262452574775384
嘉,9,9,0.04262452574775384
俟,9,9,0.04262452574775384
伏羲,9,9,0.04262452574775384
末,9,9,0.04262452574775384
孔氏,9,9,0.04262452574775384
伊川,9,9,0.04262452574775384
润色,9,9,0.04262452574775384
犯,9,9,0.04262452574775384
十有二月,9,9,0.04262452574775384
武三思,9,9,0.04262452574775384
不肯,9,9,0.04262452574775384
于时,9,9,0.04262452574775384
不用,9,9,0.04262452574775384
宪章,9,9,0.04262452574775384
绍,9,9,0.04262452574775384
无穷,9,9,0.04262452574775384
之谓,9,9,0.04262452574775384
大将军,9,9,0.04262452574775384
奏请,9,9,0.04262452574775384
先君,9,9,0.04262452574775384
俄,9,9,0.04262452574775384
其事,9,9,0.04262452574775384
五代,9,9,0.04262452574775384
览,9,9,0.04262452574775384
真,9,9,0.04262452574775384
程子,9,9,0.04262452574775384
之心,9,9,0.04262452574775384
亟,9,9,0.04262452574775384
就之,9,9,0.04262452574775384
世故,9,9,0.04262452574775384
至大,9,9,0.04262452574775384
不信,9,9,0.04262452574775384
司马,9,9,0.04262452574775384
铭,9,9,0.04262452574775384
无常,9,9,0.04262452574775384
神器,9,9,0.04262452574775384
例,9,9,0.04262452574775384
容,9,9,0.04262452574775384
太甲,9,9,0.04262452574775384
杜,9,9,0.04262452574775384
姓名,9,9,0.04262452574775384
郎中,9,9,0.04262452574775384
神龙,9,9,0.04262452574775384
